Name,Position,Nat,Height,Age,Tck W,Tck R,Tck A,Shot/90,ShT/90,ShT,Shots,Svt,Svp,Svh,Ps C/90,Ps C,Ps A/90,Pas A,Off,Gl Mst,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Itc,Hdr %,Hdrs W/90,Hdrs,Drb,Dist/90,Distance,Cr C,Cr C/A,Cr A,CCC,Ch C/90,Asts/90,Aer A/90,Apps,Gls,Ast,xG,PoM,Pas %,Tck,DrbPG,Shot %,Yel,Red,Av Rat,Hdrs A,Mins,Club,Preferred Foot
Søren Daugbjerg,"D (C), DM, M (C)",DEN,"183,00","20,00","22,00","0,85","0,00","0,26","0,26","2,00","2,00","0,00","0,00","0,00","34,14","264,00","38,15","295,00","0,00","0,00","3,00","0,39","3,00","10,00","0,91","7,00","0,81","1,68","13,00","0,00","44 693,00",97.0,"2,00","0,66","3,00","0,00","0,00","0,00","2,07",7 (2),"0,00","0,00","0,15","0,00","0,89","2,84","0,00","1,00","6,00","0,00","6,64","16,00","696,00",Oviedo,Right
Diego Caballo,D/WB/M (L),ESP,"171,00","32,00","17,00","0,71","0,00","0,33","0,00","0,00","1,00","0,00","0,00","0,00","31,86","97,00","38,10","116,00","2,00","0,00","5,00","1,31","4,00","3,00","3,28","10,00","0,33","1,31","4,00","0,00","44 665,00",43.9,"1,00","0,05","20,00","0,00","0,00","0,00","3,94",2 (9),"0,00","0,00","0,04","0,00","0,84","5,58","0,00","0,00","3,00","0,00","6,77","12,00","274,00",Oviedo,Left
Juan Larios,D/WB/AM (L),ESP,"193,00","22,00","88,00","0,77","0,00","0,27","0,19","5,00","7,00","0,00","0,00","0,00","27,80","720,00","32,43","840,00","3,00","0,00","29,00","0,77","20,00","42,00","1,74","45,00","0,79","2,86","74,00","2,00","44 693,00",324.6,"21,00","0,13","158,00","2,00","0,08","0,08","3,63",27 (6),"1,00","2,00","0,36","0,00","0,86","3,40","0,08","0,71","9,00","0,00","6,62","94,00","2 331,00",Oviedo,Left
Pedro Castañeda,"D (R), WB (RL), M (R), AM (RL)",ESP,"191,00","21,00","69,00","0,82","0,00","1,05","0,53","17,00","34,00","0,00","0,00","0,00","26,05","840,00","30,61","987,00","8,00","1,00","18,00","1,30","42,00","27,00","1,46","47,00","0,56","2,76","89,00","11,00","44 694,00",434.4,"28,00","0,17","164,00","1,00","0,03","0,06","4,90",35 (2),"2,00","2,00","3,44","0,00","0,85","2,14","0,34","0,50","6,00","0,00","6,54","158,00","2 902,00",Oviedo,Either
Enrique Gómez,"D (C), WB (L), DM",ESP,"180,00","20,00","24,00","0,69","0,00","0,15","0,07","1,00","2,00","0,00","0,00","0,00","22,50","304,00","25,46","344,00","1,00","1,00","7,00","0,07","1,00","11,00","1,41","19,00","0,64","1,33","18,00","0,00","44 602,00",137.5,"0,00","0,00","2,00","1,00","0,07","0,00","2,07",12 (10),"1,00","0,00","0,10","0,00","0,88","1,78","0,00","0,50","3,00","0,00","6,70","28,00","1 216,00",Oviedo,Left Only
Jaume Grau,"DM, M (C)",ESP,"184,00","29,00","123,00","0,84","0,00","0,74","0,33","11,00","25,00","0,00","0,00","0,00","48,42","1 627,00","55,74","1 873,00","0,00","1,00","13,00","1,40","47,00","43,00","0,86","29,00","0,61","1,37","46,00","2,00",13.0,435.4,"15,00","0,16","90,00","1,00","0,03","0,09","2,23",34 (2),"1,00","3,00","1,65","0,00","0,87","3,66","0,06","0,44","5,00","1,00","6,75","75,00","3 024,00",Oviedo,Left
Ion Lucas,"M/AM (C), ST (C)",ESP,"177,00","18,00","47,00","0,82","0,00","0,75","0,32","6,00","14,00","0,00","0,00","0,00","40,98","765,00","49,34","921,00","0,00","0,00","4,00","1,29","24,00","6,00","1,77","33,00","0,42","0,54","10,00","1,00","44 605,00",246.7,"7,00","0,16","43,00","1,00","0,05","0,05","1,29","20,00","1,00","1,00","1,61","0,00","0,83","2,52","0,05","0,43","6,00","0,00","6,53","24,00","1 680,00",Oviedo,Right Only
Íñigo Vicente,"M (L), AM (LC), ST (C)",ESP,"178,00","28,00","0,00","0,00","0,00","1,70","0,68","2,00","5,00","0,00","0,00","0,00","21,06","62,00","23,43","69,00","0,00","0,00","0,00","1,02","3,00","0,00","0,68","2,00","0,10","0,34","1,00","0,00","44 816,00",38.1,"0,00","0,00","15,00","0,00","0,00","0,34","3,40",1 (13),"0,00","1,00","0,44","0,00","0,90","0,00","0,00","0,40","1,00","0,00","6,56","10,00","265,00",Oviedo,Right
Borja Sánchez,"M (C), AM (LC)",ESP,"185,00","30,00","2,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","35,05","37,00","40,74","43,00","0,00","0,00","0,00","1,89","2,00","0,00","2,84","3,00","0,33","0,95","1,00","0,00",14.0,"44 787,00","1,00","0,12","8,00","0,00","0,00","0,00","2,84",1 (1),"0,00","0,00","0,00","0,00","0,86","1,89","0,00","0,00","0,00","0,00","6,70","3,00","95,00",Oviedo,Right
Pejiño,"M (L), AM (RL)",ESP,"177,00","29,00","24,00","0,77","0,00","0,97","0,49","6,00","12,00","0,00","0,00","0,00","23,53","291,00","28,87","357,00","3,00","0,00","3,00","2,99","37,00","1,00","1,94","24,00","0,26","0,73","9,00","6,00",14.0,172.8,"25,00","0,17","139,00","2,00","0,16","0,16","2,83",11 (14),"2,00","2,00","1,18","1,00","0,82","1,94","0,49","0,50","2,00","0,00","6,59","35,00","1 113,00",Oviedo,Left
Fran Gómez,"M (R), AM (RLC), ST (C)",ESP,"184,00","24,00","21,00","0,78","0,00","2,29","1,02","21,00","47,00","0,00","0,00","0,00","21,21","435,00","25,11","515,00","18,00","1,00","2,00","0,93","19,00","7,00","0,63","13,00","0,39","2,19","45,00","10,00","44 604,00",251.2,"6,00","0,12","48,00","0,00","0,00","0,00","5,66",18 (17),"2,00","0,00","4,25","1,00","0,84","1,02","0,49","0,45","3,00","0,00","6,51","116,00","1 846,00",Oviedo,Right
Jaume Jardí,"M (R), AM (RLC), ST (C)",ESP,"177,00","24,00","3,00","0,43","0,00","2,27","1,27","14,00","25,00","0,00","0,00","0,00","15,05","166,00","18,67","206,00","7,00","0,00","0,00","1,09","12,00","0,00","0,36","4,00","0,28","1,63","18,00","1,00","44 631,00",124.8,"5,00","0,14","34,00","0,00","0,00","0,18","5,89",8 (12),"2,00","2,00","3,19","1,00","0,81","0,27","0,09","0,56","1,00","0,00","6,64","65,00","993,00",Oviedo,Left Only
Michael Gil,"M (L), AM (RL)",ESP,"173,00","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Oviedo,Left
Antonio Toledano,"M (L), AM (RL)",ESP,"177,00","18,00","31,00","0,74","0,00","3,19","1,52","20,00","42,00","0,00","0,00","0,00","23,24","306,00","28,41","374,00","5,00","1,00","1,00","0,91","12,00","12,00","2,66","35,00","0,57","2,96","39,00","12,00","44 786,00",182.1,"4,00","0,11","34,00","1,00","0,08","0,00","5,16",15 (11),"3,00","0,00","3,95","0,00","0,82","2,35","0,91","0,48","2,00","1,00","6,56","68,00","1 185,00",Oviedo,Right Only
Kaxe,"AM (R), ST (C)",ESP,"184,00","32,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 805,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","9,00",Oviedo,Right
Igor Alonso,"AM (RC), ST (C)",ESP,"174,00","20,00","10,00","0,71","0,00","2,03","0,85","18,00","43,00","0,00","0,00","0,00","21,53","455,00","25,60","541,00","16,00","0,00","1,00","1,94","41,00","1,00","0,95","20,00","0,22","1,18","25,00","9,00","44 663,00",263.1,"24,00","0,20","116,00","1,00","0,05","0,14","5,44","23,00","5,00","3,00","7,25","1,00","0,84","0,47","0,43","0,42","1,00","0,00","6,77","115,00","1 902,00",Oviedo,Right Only
Ángel Melero,"AM (C), ST (C)",ESP,"193,00","19,00","47,00","0,82","0,00","1,74","0,80","28,00","61,00","0,00","0,00","0,00","31,99","1 123,00","36,89","1 295,00","5,00","0,00","3,00","1,14","40,00","42,00","1,08","38,00","0,45","2,14","75,00","7,00",14.0,492.4,"4,00","0,11","35,00","0,00","0,00","0,06","4,73","37,00","4,00","2,00","5,86","1,00","0,87","1,34","0,20","0,46","1,00","0,00","6,59","166,00","3 159,00",Oviedo,Left
Frederik Rønnow,GK,DEN,"190,00","33,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","35,00","42,00","98,00","11,24","371,00","25,52","842,00","0,00","2,00","0,00","0,12","4,00","0,00","0,03","1,00","0,00","0,00","0,00","0,00","44 778,00",190.2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","33,00","0,00","0,00","0,00","0,00","0,44","0,00","0,00","0,00","0,00","0,00","6,75","0,00","2 970,00",Mallorca,Right Only
Gaizka Ayesa,GK,ESP,"182,00","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","4,00","9,00","10,20","51,00","24,80","124,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 597,00","44 618,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","0,00","0,00","0,00","0,41","0,00","0,00","0,00","0,00","0,00","6,46","0,00","450,00",Mallorca,Right
Javi Izquierdo,GK,ESP,"197,00","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Mallorca,Right
Javi Jiménez,D (RC),ESP,"182,00","29,00","20,00","0,59","0,00","0,13","0,03","1,00","4,00","0,00","0,00","0,00","26,72","826,00","28,57","883,00","0,00","0,00","11,00","0,13","4,00","81,00","1,23","38,00","0,65","2,81","87,00","1,00","44 571,00",313.6,"1,00","0,25","4,00","0,00","0,00","0,00","4,34",30 (2),"0,00","0,00","0,30","0,00","0,94","0,65","0,03","0,25","2,00","0,00","6,68","134,00","2 782,00",Mallorca,Right Only
Víctor Chust,D (RC),ESP,"182,00","26,00","2,00","0,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","0,00","4,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00","0,00","1,00","0,00","0,00","44 596,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0 (2),"0,00","0,00","0,00","0,00","1,00","6,43","0,00","0,00","0,00","0,00","6,60","1,00","28,00",Mallorca,Right Only
Ravil Tagir,D (C),TUR,"184,00","23,00","30,00","0,81","0,00","0,35","0,15","4,00","9,00","0,00","0,00","0,00","28,62","744,00","29,77","774,00","1,00","0,00","14,00","0,08","2,00","124,00","1,35","35,00","0,79","4,38","114,00","1,00",10.0,259.6,"0,00","0,00","1,00","0,00","0,00","0,04","5,58","26,00","1,00","1,00","0,56","0,00","0,96","1,15","0,04","0,44","5,00","0,00","6,85","145,00","2 340,00",Mallorca,Left
Son,D/WB/M/AM (R),ESP,"178,00","32,00","77,00","0,75","0,00","0,49","0,13","3,00","11,00","0,00","0,00","0,00","28,14","627,00","33,04","736,00","4,00","2,00","19,00","1,03","23,00","8,00","1,44","32,00","0,48","1,80","40,00","11,00","44 574,00",292.2,"24,00","0,21","112,00","1,00","0,04","0,09","3,73",23 (7),"0,00","2,00","1,57","0,00","0,85","3,46","0,49","0,27","4,00","0,00","6,59","83,00","2 005,00",Mallorca,Right
Bogdan Milovanov,D/WB (R),UKR,"178,00","28,00","32,00","0,70","0,00","0,20","0,10","1,00","2,00","0,00","0,00","0,00","24,59","244,00","28,12","279,00","1,00","0,00","7,00","0,91","9,00","9,00","1,81","18,00","0,35","0,60","6,00","3,00","44 605,00",130.7,"6,00","0,12","50,00","1,00","0,10","0,10","1,71",10 (6),"0,00","1,00","0,16","0,00","0,87","3,23","0,30","0,50","2,00","0,00","6,64","17,00","893,00",Mallorca,Right
Thomas Meunier,"D/WB (R), M (RC), AM (R)",BEL,"190,00","34,00","58,00","0,73","0,00","0,23","0,11","2,00","4,00","0,00","0,00","0,00","31,01","543,00","34,55","605,00","8,00","0,00","21,00","1,03","18,00","30,00","1,26","22,00","0,75","2,17","38,00","1,00","44 724,00",220.5,"17,00","0,32","53,00","1,00","0,06","0,17","2,91",18 (2),"0,00","3,00","0,28","0,00","0,90","3,31","0,06","0,50","5,00","1,00","6,59","51,00","1 576,00",Mallorca,Right
Jorge Sáenz,"D (C), DM",ESP,"192,00","29,00","23,00","0,88","0,00","0,23","0,00","0,00","4,00","0,00","0,00","0,00","16,70","285,00","23,03","393,00","0,00","0,00","11,00","0,23","4,00","67,00","0,59","10,00","0,78","3,63","62,00","0,00","44 813,00",169.8,"0,00","0,00","0,00","1,00","0,06","0,06","4,63",18 (3),"0,00","1,00","0,43","0,00","0,73","1,35","0,00","0,00","3,00","1,00","6,67","79,00","1 536,00",Mallorca,Right
Édgar,"D (C), DM, M (C)",ESP,"193,00","29,00","2,00","0,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","48,73","124,00","50,70","129,00","0,00","2,00","1,00","0,79","2,00","6,00","0,00","0,00","0,57","1,57","4,00","0,00","44 725,00",34.7,"0,00","0,00","4,00","1,00","0,39","0,00","2,75",2 (6),"0,00","0,00","0,00","0,00","0,96","0,79","0,00","0,00","0,00","0,00","6,43","7,00","229,00",Mallorca,Right Only
Alberto Quintana,"D (C), DM, M (C)",ESP,"186,00","24,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Mallorca,Right
Diego Rico,D/WB/M (L),ESP,"181,00","33,00","20,00","0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,55","164,00","31,08","192,00","0,00","1,00","6,00","0,97","6,00","8,00","1,13","7,00","0,65","2,75","17,00","0,00","44 754,00",78.2,"5,00","0,23","21,00","0,00","0,00","0,00","4,21",6 (2),"0,00","0,00","0,00","0,00","0,85","3,24","0,00","0,00","0,00","0,00","6,55","26,00","556,00",Mallorca,Left
Adrián Marín,D/WB/M/AM (L),ESP,"181,00","29,00","21,00","0,78","0,00","0,39","0,13","1,00","3,00","0,00","0,00","0,00","30,52","235,00","34,29","264,00","0,00","1,00","8,00","0,78","6,00","9,00","1,43","11,00","0,56","1,82","14,00","2,00","44 816,00",99.1,"3,00","0,17","17,00","0,00","0,00","0,13","3,25",6 (11),"0,00","1,00","0,25","0,00","0,89","2,73","0,26","0,33","0,00","0,00","6,71","25,00","693,00",Mallorca,Left
Jesús Vázquez,D/WB/M/AM (L),ESP,"184,00","23,00","91,00","0,73","0,00","0,11","0,00","0,00","3,00","0,00","0,00","0,00","30,11","817,00","32,84","891,00","5,00","1,00","33,00","0,74","20,00","33,00","1,84","50,00","0,61","1,58","43,00","4,00","44 573,00",329.2,"14,00","0,19","72,00","0,00","0,00","0,07","2,62",27 (3),"0,00","2,00","0,17","1,00","0,92","3,35","0,15","0,00","4,00","1,00","6,69","71,00","2 442,00",Mallorca,Left Only
Allan,"DM, M (C)",BRA,"175,00","35,00","77,00","0,70","0,00","0,19","0,05","1,00","4,00","0,00","0,00","0,00","49,21","1 063,00","52,73","1 139,00","1,00","0,00","6,00","0,23","5,00","5,00","0,51","11,00","0,30","0,37","8,00","0,00","44 663,00",268.6,"2,00","0,11","18,00","1,00","0,05","0,00","1,25",21 (6),"0,00","0,00","0,24","0,00","0,93","3,56","0,00","0,25","6,00","0,00","6,65","27,00","1 944,00",Mallorca,Right
Aleix Febas,"DM, M (C)",ESP,"171,00","30,00","68,00","0,74","0,00","1,00","0,31","9,00","29,00","0,00","0,00","0,00","40,04","1 163,00","47,48","1 379,00","2,00","0,00","8,00","2,72","79,00","1,00","1,14","33,00","0,37","0,34","10,00","13,00","44 786,00",402.0,"49,00","0,17","276,00","3,00","0,10","0,14","0,93",32 (1),"3,00","4,00","2,69","4,00","0,84","2,34","0,45","0,31","6,00","0,00","6,76","27,00","2 614,00",Mallorca,Right
Antonio Sánchez,"DM, M/AM (C)",ESP,"179,00","28,00","39,00","0,78","0,00","0,76","0,29","3,00","8,00","0,00","0,00","0,00","42,04","441,00","46,91","492,00","2,00","0,00","2,00","0,67","7,00","3,00","0,95","10,00","0,28","0,67","7,00","1,00","44 694,00",141.4,"3,00","0,50","6,00","0,00","0,00","0,19","2,38",8 (18),"0,00","2,00","0,52","0,00","0,90","3,72","0,10","0,38","2,00","1,00","6,69","25,00","944,00",Mallorca,Right
Guillaume Delahaye,M/AM (C),AND,"169,00","18,00","10,00","0,59","0,00","0,18","0,18","1,00","1,00","0,00","0,00","0,00","41,38","234,00","48,80","276,00","4,00","0,00","1,00","2,65","15,00","2,00","0,71","4,00","0,20","0,53","3,00","0,00","44 665,00",81.6,"3,00","0,60","5,00","1,00","0,18","0,35","2,65",5 (8),"0,00","2,00","0,08","0,00","0,85","1,77","0,00","1,00","0,00","0,00","6,65","15,00","509,00",Mallorca,Right
Iván Martín,"M (C), AM (RLC)",ESP,"178,00","27,00","53,00","0,74","0,00","0,98","0,47","12,00","25,00","0,00","0,00","0,00","28,83","732,00","33,72","856,00","6,00","0,00","6,00","1,26","32,00","4,00","1,69","43,00","0,29","0,83","21,00","6,00","44 634,00",363.2,"12,00","0,17","67,00","0,00","0,00","0,04","2,88","28,00","3,00","1,00","4,00","0,00","0,86","2,09","0,24","0,48","2,00","0,00","6,56","73,00","2 285,00",Mallorca,Left
Ángel Alarcón,"M/AM (RL), ST (C)",ESP,"181,00","22,00","56,00","0,74","0,00","1,37","0,78","24,00","42,00","0,00","0,00","0,00","21,95","674,00","25,24","775,00","15,00","0,00","5,00","1,21","37,00","3,00","1,40","43,00","0,31","1,53","47,00","23,00","44 816,00",395.3,"15,00","0,16","92,00","2,00","0,07","0,26","4,98","31,00","5,00","8,00","5,71","2,00","0,87","1,82","0,75","0,57","5,00","1,00","6,70","153,00","2 763,00",Mallorca,Right
Fabio Domínguez,"M (L), AM (RLC)",ESP,"170,00","21,00","2,00","1,00","0,00","2,00","0,67","1,00","3,00","0,00","0,00","0,00","32,00","48,00","38,67","58,00","0,00","0,00","0,00","0,67","1,00","0,00","1,33","2,00","0,80","2,67","4,00","1,00","44 577,00","44 616,00","1,00","0,08","12,00","0,00","0,00","0,00","3,33",0 (8),"0,00","0,00","0,47","0,00","0,83","1,33","0,67","0,33","0,00","0,00","6,62","5,00","135,00",Mallorca,Left Only
Alexis,"AM (RC), ST (C)",ESP,"187,00","20,00","3,00","0,43","0,00","1,97","0,76","5,00","13,00","0,00","0,00","0,00","27,38","181,00","31,92","211,00","5,00","0,00","0,00","0,91","6,00","15,00","1,21","8,00","0,46","3,33","22,00","2,00","44 574,00",86.6,"2,00","0,15","13,00","1,00","0,15","0,00","7,26",4 (14),"2,00","0,00","1,58","0,00","0,86","0,45","0,30","0,38","2,00","0,00","6,64","48,00","595,00",Mallorca,Right
Fran Pastor,"AM (RLC), ST (C)",ESP,"172,00","32,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 776,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00",0 (2),"0,00","0,00","0,00","0,00","0,75","0,00","0,00","0,00","0,00","0,00","6,40","1,00","23,00",Mallorca,Right
Óscar Aranda G02,"AM (RL), ST (C)",ESP,"186,00","24,00","58,00","0,84","0,00","2,57","1,50","42,00","72,00","0,00","0,00","0,00","19,06","535,00","22,05","619,00","14,00","1,00","2,00","0,93","26,00","36,00","2,21","62,00","0,47","2,32","65,00","17,00","44 755,00",383.9,"10,00","0,09","111,00","0,00","0,00","0,04","4,92",32 (1),"10,00","1,00","7,50","0,00","0,86","2,07","0,61","0,58","4,00","0,00","6,78","138,00","2 526,00",Mallorca,Left
Tomeu Jurado,"AM (RL), ST (C)",ESP,"182,00","18,00","6,00","0,86","0,00","3,50","2,21","43,00","68,00","0,00","0,00","0,00","17,02","331,00","20,01","389,00","23,00","0,00","1,00","0,62","12,00","20,00","0,87","17,00","0,41","3,45","67,00","7,00","44 784,00",228.9,"1,00","0,10","10,00","0,00","0,00","0,10","8,49","20,00","11,00","2,00","7,49","0,00","0,85","0,31","0,36","0,63","1,00","0,00","6,90","165,00","1 750,00",Mallorca,Either
Malcolm Barcola,GK,TOG,"197,00","27,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","24,00","42,00","81,00","24,95","948,00","29,50","1 121,00","0,00","2,00","0,00","0,00","0,00","1,00","0,11","4,00","0,00","0,00","0,00","0,00","44 778,00",222.1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,00","0,00","0,00","0,00","1,00","0,85","0,00","0,00","0,00","0,00","0,00","6,81","0,00","3 420,00",Levante,Right
Aitor Fernández,GK,ESP,"182,00","35,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Levante,Right
